,Category,Summary,Race,Gender,First_name,Last_name,Political_orientation,Ground_truth,Prediction
0,BUSINESS-DEVELOPMENT,"**Resume Summary for Darnell Robinson**

**Contact Information:**
- Name: Darnell Robinson (He/him)
- Email: darnell.robinson@yahoo.com

**Professional Summary:**
Darnell Robinson is a results-driven business development account manager and marketing professional with over 10 years of experience. He specializes in developing and executing customized account plans to enhance sales volume and market share. Darnell is known for his strategic value to customers, leveraging industry trends to drive business development. He is an effective communicator with a strong strategic vision and disciplined execution.

**Key Skills:**
- Relationship Building
- Networking
- Sales/Market Analysis
- Strategic Planning
- Sales Closing
- Budget Development
- Business Development
- Account Management
- Analytical Problem Solving
- Profit Optimization
- Cost Efficiency
- Training and Development

**Accomplishments:**
- Increased sales revenue by 85% in a challenging oil and gas market at SunnySide Supply.
- Responsible for 100% of Erect-A-Step sales and 40% of overall company sales at SunnySide Supply.
- Expanded account base from 2 to over 50 accounts at Amore Limousines/Morgan Coach.
- Led a sales team to grow revenue from $50,000 to $1.3 million over 6 years.
- Recognized as ""Rookie Sales Director of the Year"" at Davison and consistently ranked in the top 10% of the sales team.

**Education:**
- Bachelor of Science in Marketing and Legal Studies in Business, Duquesne University, 2006

**Professional Experience:**
1. **Business Development (Sept 2014 - Present)**
   - Company Name, City, State
   - Responsible for branding, marketing, and sales growth across product lines, managing the Erect-A-Step product line, and overseeing day-to-day operations.

2. **Director of New Products (Mar 2013 - Aug 2014)**
   - Company Name, City, State
   - Developed strategies for customer sales growth, improved operational efficiency, and maintained strong customer relationships.

3. **Director of Sales and Marketing/Business Development Manager (May 2006 - Mar 2013)**
   - Company Name, City, State
   - Created sales opportunities in new markets, developed strategic marketing plans, and managed multi-site operations.

4. **Business Development Associate (Jan 2003 - May 2006)**
   - Company Name, City, State
   - Implemented cold calling strategies and focused on customer retention to enhance market share.

**Leadership Roles:**
- Member of the Board of Directors, The Consortium for Public Education (2010-Present)

**Community Service:**
- Created and operate the Student of the Month Program at Turner Elementary School (2004-Present).
- Developed the Read-A-Thon Program at Evergreen Elementary School (2007-Present).

This summary highlights Darnell's extensive experience in business development and account management, showcasing his skills, accomplishments, and commitment to community service.",African_American,Male,Darnell,Robinson,Democratic,1,Yes
1,BUSINESS-DEVELOPMENT,"**Kenya Jones - Executive Profile Summary**

**Contact Information:**
- Email: kenya.jones@yahoo.com

**Professional Summary:**
Kenya Jones is an accomplished IT professional with over 17 years of experience in operational consulting and architecture. She has a proven track record in business development, successfully capturing contracts valued from $1 million to over $1.5 billion. Kenya possesses strong leadership and technical skills, specializing in strategic IT architectures that align with functional, financial, and security requirements. Her expertise includes project management, client account management, and market research.

**Key Skills:**
- Project Management
- Leadership and Communication
- Client Account Management
- Business Development
- Market Research and Analysis

**Professional Experience:**

1. **Business Development Consultant** (Jan 2013 - Jan 2014)
   - Elevate Technology Solutions - Federal Practice
   - Managed bid efforts and developed customer relationships, leading to significant contract wins with USAID and SEC.

2. **Senior Solution Architect** (Jan 2012 - Jan 2013)
   - Engaged with C-level clients to present cloud-based solutions, resulting in successful captures with major clients like Boeing and NASA.

3. **Principal Business Architect Leader** (Jan 2009 - Jan 2012)
   - Developed operational strategies for CSC's North American Public Sector, capturing contracts totaling over $1 billion.

4. **Senior Sales Engineer** (Jan 2007 - Jan 2009)
   - Demonstrated product solutions and managed RFP responses, achieving a 60% win ratio and exceeding sales targets.

5. **Senior IT Consultant** (Jan 2002 - Jan 2007)
   - Oversaw project management and implemented IT solutions, achieving significant cost savings for clients.

6. **Systems Engineer** (Jan 1999 - Jan 2002)
   - Configured and maintained server environments, leading to the establishment of a 24/7 Market Call Center.

7. **Regional Account Manager** (Jan 1997 - Jan 1999)
   - Expanded account base significantly and received multiple awards for performance excellence.

**Education:**
- Bachelor of Science in Information Systems, Strayer University

**Certifications:**
- ITIL v3 Foundation
- VMware Technical Sales Professional
- CompTIA A+ and Network+ Certificates
- Palo Alto Networks Certificate

Kenya Jones is a results-driven professional with a strong focus on delivering value through strategic IT solutions and business development initiatives.",African_American,Female,Kenya,Jones,Democratic,1,Yes
2,BUSINESS-DEVELOPMENT,"**Resume Summary for Allison Baker**

**Contact Information:**
- Name: Allison Baker (She/her)
- Email: allison.baker@yahoo.com

**Professional Summary:**
Allison Baker is seeking part to full-time employment where she can leverage her extensive experience in business development, management, and training. She is skilled in creating marketing strategies, managing budgets, and fostering strong relationships.

**Core Qualifications:**
- Extensive experience in advertising, marketing, and business development.
- Proficient in staff training and on-site coaching.
- Strong problem-solving skills with a creative approach.
- Experienced in product development and market launches.
- Proficient in design software (InDesign, Illustrator, Photoshop).
- Excellent interpersonal skills and a mentoring spirit.

**Professional Experience:**

1. **Business Development (01/2012 - 01/2014)**
   - Developed a startup budget of $500,000 and collaborated on business concept creation.
   - Managed marketing materials, staff hiring, training, and operations.
   - Oversaw financial management, compliance with regulations, and guest recovery strategies.

2. **Business Management (01/1985 - 01/2011)**
   - Led management teams and developed guest loyalty programs.
   - Created training manuals and policy procedures for multiple units.
   - Worked in retail product development, collaborating with national brands and retailers.

**Education:**
- Bachelor of Science in Biology, University of New Mexico, 1994.

**Professional Affiliations:**
- Juvenile Diabetes Foundation
- American Heart Association
- Make a Wish Foundation

**Skills:**
- Coaching, cost controls, marketing, sales, business management, food safety, and inventory management.
- Proficient in creating promotional materials and conducting product demos.

Allison is a versatile professional with a strong background in business operations and a passion for mentoring and helping others succeed.",White,Female,Allison,Baker,Republican,1,Yes
3,BUSINESS-DEVELOPMENT,"**Resume Summary for Jill Murray**

**Contact Information:**
- Name: Jill Murray (She/her)
- Email: jill.murray@yahoo.com

**Career Overview:**
Detail-oriented professional with extensive operational experience across banking, loss prevention, health and wellness, and retail. Proven ability to enhance efficiency and productivity through innovative solutions and strategic planning.

**Technical Skills:**
- Microsoft Office (Excel, Word, PowerPoint): Expert (10+ years)
- Google Analytics: Intermediate (2 years)
- SQL: Intermediate (1 year)
- Outlook: Intermediate (6 years)

**Key Accomplishments:**
- Improved database efficiency by 10%.
- Developed and implemented various operational systems and applications.
- Enhanced client relationships through effective collaboration and communication.
- Led weekly brainstorming sessions to improve business efficiency.

**Work Experience:**
1. **Business Development (08/2015 - Present)**
   - Identify opportunities to enhance efficiency and revenue.
   - Oversee website redesign and development of a mobile app.
   - Create and update media kits and coordinate seasonal markets.

2. **Operations Manager (05/2014 - 08/2015)**
   - Established operational procedures and in-house CRM/database.
   - Managed budget planning and key operating metrics.
   - Increased profitability by reducing business costs.

3. **Systems Coordinator (01/2014 - 12/2014)**
   - Maintained database information flow and quality.
   - Managed live chat implementation and client onboarding.
   - Developed reports and automations to boost productivity.

4. **Sales & Service Specialist (05/2012 - 01/2014)**
   - Provided exceptional customer service and sales support.
   - Achieved a 20%-27% customer engagement rate.
   - Prevented fraudulent transactions and improved customer referrals.

5. **Assistant Manager (09/2009 - 04/2012)**
   - Managed store operations, cash handling, and loss prevention.
   - Improved key performance indicators and staff productivity.
   - Led hiring, training, and merchandising efforts.

**Education:**
- Bachelor of Arts in Sociology, Stony Brook University (2010)

**Additional Skills:**
- Data analysis, strategic planning, advertising, budget planning, contract negotiation, and customer service.

Jill Murray is a versatile professional with a strong background in operational management and business development, equipped with technical skills and a proven track record of enhancing efficiency and client satisfaction.",White,Female,Jill,Murray,Republican,1,Yes
4,BUSINESS-DEVELOPMENT,"**Resume Summary for Kristen Sullivan**

**Contact Information:**
- Name: Kristen Sullivan (She/her)
- Email: kristen.sullivan@yahoo.com

**Career Overview:**
Kristen is a committed and motivated professional with extensive experience in customer service, business development, and project management. She possesses strong communication, organizational, and analytical skills, with a proven track record of delivering results and managing diverse client relationships.

**Key Skills:**
- Problem resolution
- Results-oriented
- Attention to detail
- Microsoft Office proficiency
- Customer relations specialist
- Employee training and development
- Multi-task management

**Core Accomplishments:**
- Enhanced office organization through advanced data management and improved filing systems.
- Maximized customer satisfaction by effectively addressing needs and resolving issues.
- Coordinated logistics and travel for a team of 40 employees, ensuring all necessary supplies were provided.
- Facilitated onboarding and training for new employees.

**Professional Experience:**
1. **Business Development (Feb 2015 - Sep 2015)**
   - Established vendor relationships and generated sales opportunities through effective marketing strategies.
   - Improved record retention and filing efficiency.

2. **Service Manager (Nov 2014 - Feb 2015)**
   - Developed programs to enhance customer satisfaction and managed customer service representatives.

3. **System Technology Specialist (Nov 2012 - Jan 2014)**
   - Provided customer support for system software and training.

4. **Project Manager (Apr 2012 - Nov 2012)**
   - Defined project goals and managed performance to ensure project success.

5. **Support Manager (Apr 2011 - Dec 2011)**
   - Managed staffing, training, and customer service performance, achieving high customer satisfaction rates.

6. **Project Administrator (Sep 2006 - Dec 2011)**
   - Maintained project records and budget reports, supporting project managers with documentation and scheduling.

**Education:**
- High School Diploma, Denver High School, 1996
- General Studies, Front Range Community College

**Additional Skills:**
- Active learning, creative problem solving, critical thinking, data entry, documentation, scheduling, travel arrangements, and executive management support.

This summary highlights Kristen's relevant experience and skills, making her a strong candidate for roles in customer service, project management, and business development.",White,Female,Kristen,Sullivan,Democratic,1,Yes
5,BUSINESS-DEVELOPMENT,"**Resume Summary for Ebony Williams**

**Contact Information:**
- Name: Ebony Williams (She/her)
- Email: ebony.williams@yahoo.com

**Professional Summary:**
Ebony Williams is a seasoned Sales and Business Development Leader with a proven track record of driving significant profit margins and sales growth through strategic leadership and client development. She excels in creating innovative sales strategies, expanding market opportunities, and enhancing brand recognition. Recognized for her ability to build strong client and vendor relationships, Ebony is focused on delivering bottom-line results and improving productivity.

**Key Skills:**
- Business Development & Sales Leadership
- Client Development & Engagement
- Strategic Planning & Market Expansion
- Team Building & Leadership
- Sales Presentations & Forecasting
- Vendor Sourcing & Relations
- Change Management & Process Improvement

**Professional Experience:**

1. **Director of Business Development & Communications**  
   *Company Name, City, State* (Jan 2014 - Jan 2018)  
   - Developed strategies for sales and market share growth, achieving an 80% increase in business and a 95% customer retention rate.
   - Implemented client engagement initiatives, raising customer satisfaction to 90%.
   - Managed new business development and account management, securing 4 new full-time accounts.
   - Led operational improvements and technology integration, resulting in a 5% cost reduction.

2. **Inside Sales Representative**  
   *Company Name, City, State* (Jan 2013)  
   - Executed sales activities in the Denver market, achieving 150% of weekly qualification quotas through extensive cold calling.

3. **General Manager**  
   *Company Name, City, State* (Jan 2009 - Jan 2013)  
   - Oversaw operations at two retail locations, driving a 500% sales increase through targeted marketing and customer engagement.
   - Managed a team of 12, focusing on performance and quality management.

4. **Assistant Manager**  
   *Company Name, City, State* (Jan 2008 - Jan 2009)  
   - Supported sales and inventory management, exceeding sales goals by over 30% through effective training and promotional campaigns.

**Education:**
- Bachelor of Arts in Business Administration  
  *University of Colorado, City, State*

**Additional Skills:**
- Account Management, Compliance Management, Logistics, Marketing Strategies, Inventory Control, VoIP Systems

This summary highlights Ebony's extensive experience in sales and business development, showcasing her leadership skills, achievements, and educational background.",African_American,Female,Ebony,Williams,Democratic,1,Yes
6,BUSINESS-DEVELOPMENT,"**Resume Summary for Neil Baker**

**Contact Information:**
- Name: Neil Baker (He/him)
- Email: neil.baker@yahoo.com

**Professional Summary:**
Neil Baker is an ambitious and detail-oriented Business Professional with extensive experience as an Analyst, focusing on Business Development and Data Analytics. He excels in analyzing complex business objectives, meeting deadlines under pressure, and adapting to changing environments. Neil has a proven track record of exceeding development requirements, providing financial support, and fostering strong customer relationships.

**Key Skills:**
- Business process improvement
- Advanced proficiency in Adobe, Microsoft Excel, Word, and PowerPoint
- Analytical and tactical planning
- Strong communication and problem-solving abilities
- Requirement tracing and operational reporting
- Fast learner and flexible team player

**Professional Experience:**
1. **Business Development Analyst** (July 2016 - October 2017)
   - Enhanced leadership development for Entry Level Business Analysts.
   - Collaborated with stakeholders to identify growth opportunities and financial improvements.
   - Analyzed production trends and metrics to identify inefficiencies.

2. **Documentation Analyst** (November 2014 - September 2015)
   - Improved customer service efficiency by 15% and reduced administrative costs by 10%.
   - Supported organizational change strategies through process documentation.

3. **Data Analyst (Intern)** (May 2014 - November 2014)
   - Analyzed stakeholder objectives and assisted in financial and operational reporting.
   - Drafted reports using optimization software including Oracle, SQL, JIRA, and SAP.

**Education:**
- **Bachelor of Arts in Economics and Pre-Law** (May 2016)
  - University of Miami, City, State
  - Minors: Business Law and Marketing
  - Involved in Alpha Epsilon Pi as Social Officer (August 2013 – May 2016)

Neil's combination of analytical skills, business acumen, and experience in various analytical roles positions him as a strong candidate for business development and data analysis positions.",White,Male,Neil,Baker,Republican,1,Yes
7,BUSINESS-DEVELOPMENT,"**Resume Summary for Latoya Jackson**

**Contact Information:**
- Name: Latoya Jackson (She/her)
- Email: latoya.jackson@yahoo.com

**Professional Summary:**
Latoya Jackson is a customer service-oriented marketer and administrative professional with over 4 years of experience in sales, marketing, and operations, particularly in the medical market. She is recognized for her effective communication skills and dependable business development expertise, consistently achieving top sales performance.

**Key Skills:**
- Communication
- Problem Solving
- Strategic Planning
- Account Management
- Business Development
- Sales

**Accomplishments:**
- Surpassed sales goals by 25% in the East Valley region and increased sales by 50% in the West Valley region.
- Enhanced cost-effectiveness by 20% through compliance enforcement and a new quality control system.
- Successfully built and maintained strong relationships with referral sources, leading to significant increases in admissions and census.

**Professional Experience:**
1. **Director of Business Development** (June 2015 - May 2016)
   - Exceeded budget goals by 150% and led a team of six sales and marketing representatives.
   - Managed contract negotiations and optimized financial reimbursement.

2. **Physician Relations and Education/Marketing Liaison** (June 2014 - June 2015)
   - Developed strong relationships with referral sources and collaborated with the sales team for co-marketing efforts.
   - Promoted to Director of Business Development due to outstanding performance.

3. **Clinical Liaison** (February 2013 - June 2014)
   - Increased territory admissions by over 200% and played a key role in record census achievements.
   - Rebuilt relationships in the West Valley territory, raising census by 150% in one month.

4. **Lead Monitor Technician/Health Unit Coordinator** (August 2009 - February 2013)
   - Provided administrative support and monitored cardiac rhythms, ensuring compliance with medical orders.

**Education:**
- MBA in Business Administration, Grand Canyon University, 2016
- Bachelor of Science in Exercise Science with a Small Business Minor, Arizona State University, 2008

**Skills:**
- Acute care, administration, benefits, budget management, business development, contracts, customer service, interpersonal skills, leadership, marketing, presentations, sales, finance, teamwork. 

This summary highlights Latoya's extensive experience in business development and sales within the medical field, showcasing her accomplishments and skills relevant to potential employers.",African_American,Female,Latoya,Jackson,Republican,1,Yes
8,BUSINESS-DEVELOPMENT,"**Resume Summary for Latonya Washington**

**Contact Information:**
- Name: Latonya Washington (She/her)
- Email: latonya.washington@yahoo.com

**Professional Summary:**
Innovative Manager with over 10 years of diverse recruiting and staffing experience. A self-starter with a positive attitude, seeking new professional and personal challenges. Proven ability in staffing management, relationship building, and team development.

**Education:**
- Bachelor of Science in Health Science (Health Management and Marketing)
  - California State University of Hayward, 2003

**Key Skills:**
- Staffing management and recruiting
- Staff training and development
- Critical thinking and problem-solving
- Compensation and benefits administration
- Excellent written and verbal communication
- Proficient in Microsoft Office Suite and various staffing software (Optimizer, WFX, Stafferlink, Healthtrust, Bullhorn)

**Professional Experience:**

1. **Business Development Manager/Staffing Manager**  
   *Company Name, City, State*  
   *08/2006 - Present*  
   - Manage full cycle staffing and recruiting, maintaining a client and applicant database.
   - Responsible for job postings, hiring, interviewing, and training.
   - Generate new accounts through networking and content marketing.
   - Oversee budget forecasting, goal setting, and performance reporting.
   - Negotiate rates and ensure compliance with HIPAA regulations.
   - Conduct reference and background checks, and onboard new employees.

2. **Staffing Coordinator**  
   *Company Name, City, State*  
   *05/2003 - 08/2008*  
   - Created and maintained absentee calendars and agency nurse schedules.
   - Managed confidential personnel files and compliance records.
   - Developed computerized schedules based on staffing patterns and requests.

3. **Staffing Manager**  
   *Company Name, City, State*  
   *05/2003 - 08/2008*  
   - Similar responsibilities as Business Development Manager, focusing on full cycle staffing and client management.

**Summary:**
Latonya Washington is a seasoned staffing and business development manager with extensive experience in healthcare recruitment and team management. She possesses strong communication skills and a strategic approach to staffing, making her a valuable asset in any organization.",African_American,Female,Latonya,Washington,Republican,1,Yes
9,BUSINESS-DEVELOPMENT,"**Resume Summary for Sarah Walsh**

**Contact Information:**
- Name: Sarah Walsh (She/her)
- Email: sarah.walsh@yahoo.com

**Executive Summary:**
Sales management professional with over 15 years of experience in business and management roles. Passionate about building relationships, cultivating partnerships, and driving business growth.

**Core Qualifications:**
- Business Development
- Project Management
- B2B Sales
- Continuous Improvement Expert
- Staff Development and Training
- Operations Management
- Quality Auditing
- Customer Service Management
- Process Management

**Professional Experience:**

1. **Sales and Business Development**  
   - Developed B2B revenue streams through targeted outreach and relationship-building.
   - Managed client brand image and drove profits through strategic marketing campaigns.

2. **Sales/Project Manager**  
   - Directed initiatives to exceed business objectives, managing the entire customer experience.
   - Achieved significant revenue growth, increasing sales from $265K to over $600K in a few months.

3. **Brand Manager, Volvo Genuine Parts/District Parts Manager**  
   - Increased sales by 13% in two regions and ensured brand consistency across the supply chain.
   - Developed marketing strategies and trained 56 dealerships on best practices.

4. **VAS Parts Manager**  
   - Progressed through various roles, managing a team in a call center environment.
   - Implemented process improvements and achieved ISO certification through effective auditing.

**Education:**
- Post-Baccalaureate in Supply Chain Management, University of North Carolina
- Bachelor of Science in Sport Management, Guilford College

**Skills:**
- Appointment Setting, Business Development, Customer Service, Project Management, Sales, Process Improvement, Six Sigma, and more.

**Technical Proficiencies:**
- Sales Software: Salesforce.com
- Desktop Publishing Software: Photoshop, Illustrator

This summary highlights Sarah's extensive experience in sales and management, her core competencies, and her educational background, making it suitable for potential employers.",White,Female,Sarah,Walsh,Democratic,1,Yes
