,Category,Summary,Race,Gender,First_name,Last_name,Political_orientation,Ground_truth,Prediction
0,FINANCE,"**Kareem Jones**  
Email: kareem.jones@yahoo.com  

**Professional Summary:**  
Versatile and highly motivated accounting graduate with strong analytical skills and a solid background in accounting and finance. Seeking to transition into business and property consultancy to leverage knowledge and work experience.

**Skills:**  
- Superior time management  
- Customer relations  
- Self-motivated  
- Excellent communication and interpersonal skills  
- Multilingual: English and Indonesian  
- Proficient in MS Office (Excel, Word, Access)  
- Critical thinking and attention to detail  
- Creative thinker with excellent managerial techniques  

**Work History:**  
- **Finance** (07/2013 - Present)  
  - Proposed cost savings and managed project expenses.  
  - Analyzed budgets and financial reports for accurate financial standing.  
  - Collaborated with management on expense plans and monthly cash projections.  

- **Junior Auditor** (02/2012 - 06/2012)  
  - Analyzed cost reports and communicated findings to clients.  
  - Reported internal control issues and provided recommendations.  
  - Conducted internal audits and assessed business controls and risks.  

**Education:**  
- **S.E. in Accounting** (2013)  
  Kwik Kian Gie School of Business  

- **High School Diploma** (2008)  
  Don Bosco 2 Senior High School  

**Certifications:**  
- Sales Promotion Officer at Wall Street Institute (2012)  
- Junior Auditor (Intern) at KP.K Rahman (2013)  
- Finance at PT. Mitra Manunggal Mahardika (Current)  

**Additional Information:**  
- Gender: Male  
- Date of Birth: December 24, 1989, Jakarta  
- Nationality: Indonesian  
- Hobbies: Boxing, Yoga, Jogging, Traveling  
- Career Interests: Accounting, Finance, Auditor, Marketing  

This summary highlights Kareem's qualifications, skills, and relevant work experience, making it suitable for potential employers in the fields of accounting, finance, and consultancy.",African_American,Male,Kareem,Jones,Democratic,1,Yes
1,FINANCE,"**Resume Summary for Ebony Jones**

**Contact Information:**
- Name: Ebony Jones (She/her)
- Email: ebony.jones@yahoo.com

**Professional Summary:**
Finance professional with a strong focus on improving employee morale, reducing turnover, and enhancing productivity. Experienced in leadership development, training, and strategic thinking.

**Key Skills:**
- Exceptional interpersonal skills
- Employee relations
- Training and development
- Data analysis
- Predictive planning
- Public speaking
- Budget planning
- Project management
- Customer satisfaction
- Mentoring

**Professional Experience:**

1. **Finance Roles** (July 2008 - October 2015)
   - Various positions in Finance and Project Management, including Integrated Scheduling, Contracts, and Business Partner.
   - Advised management on program-specific matters, developed risk-reduction metrics, and directed personnel training.

2. **Adjunct Professor** (August 2013 - Present)
   - Conducted leadership courses for adult learners, focusing on organizational leadership and human behavior.

3. **Human Resource Generalist Intern** (July 2014 - March 2015)
   - Acted as a liaison between management and employees, advised on policy matters, and developed job descriptions.

**Education:**
- Doctor of Philosophy in Organizational Leadership, 2013, The Chicago School of Professional Psychology
- Master of Arts in Industrial Organizational Psychology, 2008, The Chicago School of Professional Psychology
- Bachelor of Science in Psychology, 2006, Belmont University

**Affiliations:**
- Board of Directors, Boeing St. Louis Leadership Association
- Tribute Committee, Connections to Success
- Co-Lead, Boeing Parents Network (2015)
- Member, Boeing Hispanic Employee Network (BHEN)
- Member, Boeing Women in Leadership Service Committee

**Interests:**
- Leadership development and continuing education
- Coordinating volunteer efforts within work teams
- Mentoring

**Additional Information:**
- Led various initiatives at Boeing, including University Relations Team and Integrated Scheduling Special Project.
- Successfully defended dissertation on work/life balance perceptions in March 2013. 

This summary highlights Ebony's qualifications, experience, and skills relevant to potential employers in finance, human resources, and education.",African_American,Female,Ebony,Jones,Democratic,1,Yes
2,FINANCE,"**Resume Summary for Sarah Walsh**

**Contact Information:**
- Name: Sarah Walsh (She/her)
- Email: sarah.walsh@yahoo.com

**Executive Profile:**
- Experienced Financial Manager and CPA with a focus on building trust and partnerships through accountability and transparency. Proficient in financial and managerial accounting practices, with a strong analytical mindset.

**Key Skills:**
- Public and private accounting
- Certified audits and GAAP guidelines
- Contract negotiation and process improvement
- Strong initiative and resourcefulness

**Core Accomplishments:**
- Recognized for excellence in financial analysis, budgeting, and forecasting.
- Successfully reduced office expenses through strategic vendor and service solutions.

**Professional Experience:**

1. **Finance Manager, OPG Group, OhioHealth** (Jan 2012)
   - Managed monthly financial reporting and GAAP financial statements for physician enterprises.
   - Led financial modeling, planning, and execution of financial processes.
   - Collaborated with auditors and prepared IRS Form 990.

2. **Supervising Auditor, PWC** (Jan 2003 - Jan 2004)
   - Supervised financial risk assessments and audit plans for high-profile clients.
   - Developed risk assessments and managed a team of 3-5 auditors.

3. **Supervising Senior Auditor, Loeb & Troper** (Jan 1999 - Jan 2003)
   - Prepared consolidated financial statements for nonprofit healthcare organizations.
   - Managed multiple audit engagements and developed internal control recommendations.

4. **Financial Controller, The New 42nd Street, Inc.** (Jan 2006 - Jan 2012)
   - Oversaw financial reporting and managed a $50 million asset portfolio.
   - Led the yearly financial audit process and managed a finance team.

5. **Internal Auditor, Columbia University** (Jan 2004 - Jan 2006)
   - Conducted operational and financial audits, focusing on compliance and governance.
   - Coordinated audit projects with external auditors and key finance executives.

**Education:**
- MBA in Business Administration, Keller Graduate School of Management
- B.A. in Accounting, Queens College, City University of New York

**Certifications:**
- Certified Public Accountant (New York)
- Chartered Global Management Accountant

**Skills:**
- Financial reporting, budgeting, compliance audits, risk management, and team leadership.

This summary highlights Sarah Walsh's extensive experience in financial management, her key skills, and her educational background, making her a strong candidate for roles in finance and accounting.",White,Female,Sarah,Walsh,Republican,1,Yes
3,FINANCE,"**Resume Summary for Latoya Jackson**

**Contact Information:**
- Name: Latoya Jackson (She/her)
- Email: latoya.jackson@yahoo.com

**Professional Summary:**
Strategic and analytical finance professional with over 4 years of experience in financial reporting, analysis, and project management. Proven ability to execute variance analysis, monitor KPIs, and develop financial reports and presentations.

**Key Skills:**
- Analytical skills
- Variance analysis
- Financial modeling
- Complex problem solving
- Proficient in MS Office Suite
- Strong interpersonal and leadership skills

**Professional Experience:**

1. **Finance Analyst**  
   *Company Name, City, State*  
   Nov 2013 - Present  
   - Executed variance and gap analysis, monitored KPIs, and analyzed financial trends.
   - Developed financial analysis reports and presentations, evaluated ROI, and managed budgets.
   - Created training manuals and led team training, providing high-level support to sales representatives.

2. **Claim Representative**  
   *Company Name, City, State*  
   Feb 2011 - Oct 2013  
   - Investigated claims, assessed property damage, and negotiated settlements.
   - Analyzed information for claim recommendations and maintained records of customer interactions.

3. **Intern**  
   *Company Name, City, State*  
   Aug 2010 - Oct 2010  
   - Interviewed clients to assess financial needs and customized insurance programs.
   - Developed clientele through networking and attended seminars for professional development.

**Education:**
- Bachelor of Science in Business Administration, Finance  
  California State University of Bakersfield, June 2010

**Accomplishments:**
- President of Phi Sigma Sigma Sorority (2007-2008), coordinated events, managed budgets, and engaged in community service.

This summary highlights Latoya's relevant experience, skills, and education, making it suitable for potential employment opportunities in finance and related fields.",African_American,Female,Latoya,Jackson,Republican,1,Yes
4,FINANCE,"**Resume Summary for Darnell Washington**

**Contact Information:**
- Email: darnell.washington@yahoo.com

**Professional Summary:**
Darnell Washington is a strategic and analytical finance professional with over 10 years of experience in financial reporting, analytics, financial planning & analysis, project management, and treasury operations. He has a proven track record in vendor management, technology, and payment processing.

**Key Highlights:**
- Expertise in financial modeling and data analysis.
- Strong background in M&A support, product launches, and negotiations with credit card companies.

**Professional Experience:**

1. **Finance Consultant** (February 2016 - Present)
   - Prepares monthly payment reporting and analytics dashboards for senior management.
   - Utilizes Teradata SQL and Oracle Business Intelligence for ad hoc reporting.
   - Conducts data analysis using Access databases and Excel.
   - Supports M&A/divestitures and new product launches.

2. **Senior Financial Analyst** (April 2009 - February 2016)
   - Liaison for indirect sales channel, providing financial reporting for 282 agents.
   - Developed credit review processes for product launches and implemented B2B payment strategies.
   - Achieved over $3.9M in annual credit card interchange savings.
   - Managed the ReconNET reconciliation system and supported Sarbanes Oxley testing.

3. **Retail Analyst** (February 2007 - April 2009)
   - Prepared aging reports and collaborated with fraud and compliance teams.
   - Reconciled sales and deposits for approximately 90 retail locations.

4. **Treasury Assistant** (May 2005 - February 2007)
   - Processed journal entries and assisted with month-end close duties.

**Education:**
- **Master of Technology Management** (2014) - Stevens Institute of Technology
- **Bachelor of Science in Business Administration Finance** (2005) - Seton Hall University

**Skills:**
- Financial reporting, data analysis, project management, vendor management, payment processing, SQL, Oracle, Excel, Access, and VBA.

Darnell's extensive experience in finance, combined with his analytical skills and strategic approach, positions him as a valuable asset in any financial role.",African_American,Male,Darnell,Washington,Democratic,1,Yes
5,FINANCE,"**Resume Summary for Tremayne Washington**

**Contact Information:**
- Name: Tremayne Washington (He/him)
- Email: tremayne.washington@yahoo.com

**Professional Summary:**
Skilled Operations Manager with a strong track record in enhancing team performance and operational efficiency through innovative management techniques. Known for providing constructive feedback to promote productivity and employee loyalty.

**Core Competencies:**
- Operations Management
- Customer Relations
- Purchasing & Procurement
- Fleet Management
- Budgeting & Forecasting
- Audits & Logistics
- Accounting & P&L Management
- Business Development
- Quality Assurance & Control
- Collection Management
- Proficient in MS Excel, MS Access, MS Project, Quicken, MS PowerPoint, Inoviswork, SAP, Oracle ERP, Kronos

**Key Accomplishments:**
- Increased output by 32% through strategic reorganization.
- Reduced staff turnover by 45% in one year via morale-building programs.
- Achieved a 30% sales increase, qualifying for a $2 million remodel.
- Developed KPIs to enhance delivery, customer service, and safety.
- Improved customer satisfaction ratings by 40% in under 4 months.

**Professional Experience:**
1. **Finance Manager** (03/2016 - Present)
   - Collaborated with Product Management and Purchasing on financial impacts.
   - Conducted financial audits for SEC/FINRA compliance.
   - Managed bank reconciliations for multiple companies.

2. **District Manager** (02/2013 - 03/2016)
   - Oversaw hiring and training for operational goals across 4 locations.
   - Developed and managed annual budgets.
   - Ensured adherence to operational policies.

3. **Operations Manager** (06/2010 - 11/2012)
   - Enhanced operational procedures and management reporting.
   - Coordinated communication between business functions.

4. **General Manager** (06/2001 - 06/2010)
   - Increased profits by 20% in the first year.
   - Negotiated lower freight rates, reducing costs by 13%.
   - Developed a nationwide training program for new employees.

**Education:**
- Bachelor of Arts in Political Science, Grand Valley State University, 2008
- J.D. in Criminal Law, Duke University Law School, 2012

**Skills:**
- Accounting, Budgeting, Business Development, Customer Relations, ERP, Financial Management, Forecasting, Hiring, Logistics, Negotiating, Operations Management, Purchasing, Quality Assurance, SAP, and more. 

This summary highlights Tremayne Washington's qualifications, experience, and achievements, making it suitable for potential employers.",African_American,Male,Tremayne,Washington,Republican,1,Yes
6,FINANCE,"**Brendan McCarthy**  
Email: brendan.mccarthy@yahoo.com  

**Summary:**  
Brendan McCarthy is an analytical professional with over 12 years of experience in accounting, finance management, human resources, and policy implementation. He possesses strong organizational, communication, and leadership skills, and is adept at working both independently and collaboratively.

**Experience:**  

- **Finance Director** (01/2012 - 06/2016)  
  - Managed $137 million in federal funding for over 15,000 low-income families in Miami Dade County.  
  - Developed monthly executive reports and participated in establishing economic objectives with senior management.  
  - Oversaw audit processes and maintained compliance with IRS and GAAP standards.  
  - Led payroll functions and collaborated with HR on benefits programs.  
  - Directed procurement strategies and vendor management.

- **Corporate Controller** (01/2008 - 01/2012)  
  - Ensured compliance with GAAP standards and managed financial reporting systems.  
  - Analyzed financial data and participated in budgeting processes.  
  - Managed cash flow and compliance activities within the finance department.  
  - Provided mentorship and supervision to the finance/accounting team.

- **Senior Tax Analyst** (03/2003 - 12/2007)  
  - Reviewed and corrected various tax returns and resolved taxpayer issues through direct communication.

**Education:**  
- BA in Business, Eastern CT State University (2004)  
- MST in Taxation, University of Hartford (2007)  

**Skills:**  
- Accounting, financial management, cash flow analysis, payroll administration, procurement, leadership, communication, and tax compliance.  

Brendan's extensive experience in finance and accounting, combined with his leadership abilities, makes him a strong candidate for roles in financial management and oversight.",White,Male,Brendan,McCarthy,Democratic,1,Yes
7,FINANCE,"**Resume Summary for Laurie Murray**

**Contact Information:**
- Name: Laurie Murray (She/her)
- Email: laurie.murray@yahoo.com

**Professional Summary:**
Finance Director with extensive experience in strategic planning, budgeting, and accounting. Proven track record in process implementation, staff leadership, and financial analysis.

**Key Skills:**
- Data trending
- Process implementation
- Staff leadership and development
- Microsoft Excel (Intermediate)
- Quickbooks (3 years experience)
- ADP Payroll System (3 years experience)

**Professional Experience:**

1. **Finance Director**  
   *Company Name, City, State*  
   May 2012 - Present  
   - Implemented new accounting procedures in Quickbooks.
   - Managed payroll preparation and submission to ADP bi-monthly.
   - Created financial statements and worked closely with HR and executive leadership.

2. **Systems Manager**  
   *Company Name, City, State*  
   July 2011 - May 2012  
   - Processed Medicaid claims and managed billing errors.
   - Analyzed patient accounts and assisted the Finance Director with various tasks.

3. **Staff Accountant**  
   *Company Name, City, State*  
   June 2008 - March 2010  
   - Analyzed financial records and conducted payroll audits.
   - Assisted with internal audits and ensured compliance with SOX procedures.

**Education:**
- Bachelor of Science in Business Administration  
  Youngstown State University, 2008

This summary highlights Laurie Murray's relevant experience, skills, and education, making it suitable for potential employment opportunities in finance and accounting.",White,Female,Laurie,Murray,Republican,1,Yes
8,FINANCE,"**Resume Summary for Jamal Washington**

**Contact Information:**
- Name: Jamal Washington (He/him)
- Email: jamal.washington@yahoo.com

**Professional Summary:**
Flexible Financial Manager with extensive experience in general accounting and financial reporting for both private and public companies. Proven ability to multi-task, meet deadlines, and effectively communicate while developing and motivating staff. Strong analytical, organizational, and critical thinking skills, with a focus on SOX compliance, GAAP, and various financial reporting standards.

**Key Skills:**
- Financial analysis and reporting
- SOX compliance and internal controls
- GAAP, STAT, GASB, FAS60, FAS97, FAS133 reporting
- Sales and Use taxes, Payroll taxes, 1099 reporting
- Excellent communication and organizational skills
- Process improvement and project management

**Professional Experience:**

1. **Finance Manager** (December 2007 - Present)
   - Prepare monthly/quarterly analytics and financial reports.
   - Review GAAP and Statutory journal entries; manage reconciliations.
   - Act as liaison for internal/external audits and assist in technical accounting research.
   - Implemented process improvements, reducing closing times.

2. **Accounting Manager** (February 2002 - December 2007)
   - Led monthly/year-end close processes and financial statement reconciliations.
   - Managed cash flow and negotiated merchant discount rates.
   - Oversaw accounting staff and participated in financial software implementation.

3. **Accounting Supervisor** (April 1995 - February 2002)
   - Managed payroll for over 300 employees and prepared tax filings.
   - Supervised accounting staff and coordinated quarterly audits.

**Education:**
- Master of Science in Accounting, Rutgers University, 2013
- Bachelor of Science in Accounting, Kean University

**Computer Skills:**
Proficient in various accounting software including PeopleSoft, Mas90/Mas200, Oracle, and Microsoft Office products.

---

This summary highlights Jamal Washington's key qualifications, experience, and skills relevant to financial management and accounting roles.",African_American,Male,Jamal,Washington,Democratic,1,Yes
9,FINANCE,"**Resume Summary for Brendan Murphy**

**Contact Information:**
- Name: Brendan Murphy (He/him)
- Email: brendan.murphy@yahoo.com

**Profile:**
Brendan is an experienced Accountant and database worker with over four years of expertise in accounting and database management. He is a team-oriented individual with strong interpersonal skills, capable of evaluating customer requirements and completing tasks on time. Brendan is reliable, organized, and adaptable, with a proven ability to work under tight schedules and outside official hours.

**Key Skills:**
- Analytical reasoning
- Compliance testing knowledge
- Financial statement analysis
- Account reconciliation
- Financial planning
- Effective time management

**Accomplishments:**
- Achieved a 25% cost reduction by eliminating redundant processes.
- Recognized for excellence in financial analysis, budgeting, and forecasting.

**Professional Experience:**
1. **Finance Officer** (April 2014 - January 2016)
   - Developed internal control policies and procedures.
   - Coordinated financial planning, budgeting, and investment activities.
   - Prepared financial statements and advised management on financial objectives.

2. **Administrative/Finance Officer** (April 2013 - October 2013)
   - Supervised payroll functions and managed Sage Accounting software.
   - Handled income and expenditure data inputting and analysis.

3. **Data Entry Supervisor** (April 2013 - October 2013)
   - Supervised data collection and ensured timely output.
   - Analyzed the authenticity of reports for donor submissions.

4. **Compliance and Internal Controls Officer** (September 2012 - April 2013)
   - Conducted daily reconciliations for international bank accounts.
   - Ensured compliance with money laundering prevention procedures.

**Education:**
- Bachelor of Science in Accounting and Finance, Fourah Bay College, Sierra Leone (2013) - Graduated with honors.

**Interests:**
- Volunteer work, active participation in student government, and sports clubs.

**Additional Skills:**
- Customer service, administration, active listening, judgment and decision-making, quality control analysis, and clerical skills. 

Brendan is a dedicated professional with a strong foundation in accounting and finance, looking to leverage his skills in a challenging new role.",White,Male,Brendan,Murphy,Republican,1,Yes
