,Category,Summary,Race,Gender,First_name,Last_name,Political_orientation,Ground_truth,Prediction
0,INFORMATION-TECHNOLOGY,"**Resume Summary for Jamal Jones**

**Contact Information:**
- Name: Jamal Jones (He/him)
- Email: jamal.jones@yahoo.com

**Professional Summary:**
Jamal Jones is a dedicated Information Assurance Professional with 37 years of experience in enterprise design and engineering. He specializes in risk analysis and mitigation, project management, and enhancing productivity through effective goal-setting and deadline enforcement. 

**Key Skills:**
- Information Assurance and Risk Management Framework (RMF)
- Active Directory design and deployment
- Systems accreditation and vulnerability management
- High Performance Computing and data storage engineering
- Project tracking and hardware/software upgrade planning
- Proficient in MS Visio and collaborative team environments

**Professional Experience:**

1. **Information Technology (Current Position)**
   - **Duration:** 02/2011 - Present
   - **Responsibilities:** 
     - Managed accreditation efforts for major departmental modernization projects, leading to successful Authorization To Operate (ATO) decisions.
     - Coordinated with ONI Enterprise for critical design decisions and integration.
     - Analyzed complex systems for vulnerabilities and supervised external consultants.
     - Managed application patches, data backups, and network configurations.

2. **Systems Engineer**
   - **Duration:** 02/2006 - 02/2011
   - **Responsibilities:**
     - Developed processing strategies to meet departmental requirements and improved local storage solutions, saving over $1 million.
     - Designed and accredited a Red Hat Linux high compute cluster, significantly reducing data processing time.

3. **Senior Systems Analyst**
   - **Duration:** 02/1999 - 02/2006
   - **Responsibilities:**
     - Enhanced corporate and client communications through the design and deployment of enterprise network solutions.
     - Identified network vulnerabilities and developed preventive strategies to improve system security.

**Education:**
- **Associate of Science in Electronic Engineering**
  - Florence Darlington Technical School, 1980
  - Achievements: Dean's list for high GPA, Class President (second year)

**Additional Skills:**
- Hardware Engineering, Network Design & Troubleshooting, Vendor Relations, Team Collaboration, and proficiency in desktop publishing software (Photoshop, Illustrator, HTML).

This summary highlights Jamal's extensive experience in information assurance, project management, and systems engineering, showcasing his ability to lead complex projects and improve organizational efficiency.",African_American,Male,Jamal,Jones,Democratic,1,Yes
1,INFORMATION-TECHNOLOGY,"**Greg McCarthy**  
Email: greg.mccarthy@yahoo.com  

**Summary of Qualifications:**  
Experienced Information Technology Specialist with over 19 years in IT and communications management, project management, and technical support. Proven ability to oversee complex systems, manage personnel, and ensure the reliability and efficiency of IT infrastructure. Strong background in troubleshooting, system design, and customer support, with a focus on maintaining high standards of quality assurance.

**Professional Experience:**  

- **Information Technology Specialist (GS11)**  
  *Company Name, City, State*  
  *07/2004 - Present*  
  - Manage IT/communications environment for the Wing and associated units, ensuring system integrity and reliability.
  - Plan and implement hardware/software solutions, troubleshoot system failures, and provide technical support.
  - Oversee telecommunications and NIPR networks, ensuring compatibility and efficiency of new installations.
  - Conduct feasibility studies and manage budget constraints to meet user requirements.

- **Cyber Transport/Client Systems Workcenter Supervisor**  
  *Company Name, City, State*  
  *02/2001 - Present*  
  - Supervise work center personnel, set work priorities, and document training.
  - Sustain and operate network infrastructure, voice systems, and small computers through effective troubleshooting.

- **F-16 Ejection System Technician**  
  *Company Name, City, State*  
  *07/1996 - 07/2000*  
  - Troubleshot and maintained ejection systems, ensuring safety and compliance with standards.
  - Managed supply systems and trained personnel in quality assurance and computer security.

**Education:**  
- **BS in Electrical Engineering**  
  *University of TN, City, State*  
  *May 2003*  
- **High School Diploma**  
  *Brockport High School, City, State*  
  *June 1996*  

**Certifications and Training:**  
- USAF Electronic Principles, Telephone Systems Apprentice Course, Aircrew Egress Systems Apprentice Course  
- Numerous certificates in LAN fundamentals, Cisco networking, and related IT training.

**Skills:**  
- Project Management, Technical Assistance, Troubleshooting, Network Management, Quality Assurance, System Design, Telecommunications, Budget Management, and Training.

**Awards:**  
- USAF Achievement Medal, Humanitarian Service Medal, Maintenance Professional of the Year, and multiple Airman of the Month/Quarter recognitions.

**Interests:**  
- Volunteer electrical work for Habitat for Humanity, gaining practical experience in residential wiring.

This summary highlights Greg's extensive experience in IT and project management, technical skills, and educational background, making him a strong candidate for roles in information technology and systems management.",White,Male,Greg,McCarthy,Democratic,1,Yes
2,INFORMATION-TECHNOLOGY,"**Resume Summary for Jill Baker**

**Contact Information:**
- Name: Jill Baker (She/her)
- Email: jill.baker@yahoo.com

**Professional Summary:**
Jill Baker is an experienced Information Technology Specialist with over 5 years of IT experience in the U.S. Army, including more than a year in a supervisory role. She has a proven track record in training personnel, troubleshooting, and maintaining IT equipment, managing an inventory valued at over $1 million with zero losses. Jill holds a Security and Microsoft Certification and possesses a Secret Security Clearance.

**Key Skills:**
- Excellent communication and project management
- Complex problem-solving and advanced critical thinking
- Proficient in SharePoint, Microsoft Excel, Project, and Visio
- Experience in manufacturing systems integration and design instruction creation

**Accomplishments:**
- Awarded the Army Achievement Medal for contributions to the communications network during Key Resolve 13.
- Received the Air Force Achievement Medal for outstanding performance during Operation Iraqi Freedom.
- Recognized with a Certificate of Achievement for support during the Windows 7 Migration.
- Honored with the Good Conduct Medal for exemplary service.

**Professional Experience:**
1. **Information Technology Supervisor** (01/2011 - 05/2014)
   - Supervised up to 10 personnel, conducted performance evaluations, and provided training on IT equipment setup.
   - Managed inventory of network communications equipment and maintained signal communications for Fort Bragg.

2. **Information Technology Technician** (01/2009 - 01/2011)
   - Maintained and repaired communications equipment, set up computer systems, and received training in LAN/WAN protocols.

3. **Radiology Technologist** (05/2008 - 09/2008)
   - Performed radiological examinations and ensured accurate documentation while providing patient care.

4. **Command Post Controller** (10/2001 - 10/2005)
   - Provided command and control communications support during various operations and disseminated critical information.

**Education:**
- Certifications in Windows 7 and Security (2012)
- Distinguished Graduate Certificate in Information Technology (Network Communications) (2009)
- Associate of Science in Radiography (2008)
- IT Tech Prep Certificate (2001)
- High School Diploma (2001)

**Skills:**
- IT management, troubleshooting, inventory control, customer assistance, and documentation.

Jill Baker is well-equipped to contribute to any organization seeking a skilled IT professional with a strong military background and a commitment to excellence.",White,Female,Jill,Baker,Democratic,1,Yes
3,INFORMATION-TECHNOLOGY,"**Resume Summary for Jamal Jackson**

**Contact Information:**
- Name: Jamal Jackson (He/him)
- Email: jamal.jackson@yahoo.com

**Professional Summary:**
Jamal Jackson has over 17 years of experience in the information technology field, with a strong focus on curriculum design and computer-based training development for the past 7 years. He possesses advanced problem-solving skills, extensive project and group management experience, and a solid background in customer service.

**Core Competencies:**
- Curriculum Design & Development
- Data Analysis (Quantitative & Qualitative)
- Project Management
- Advanced User Experience
- Customer Service Training
- Team Building & Conflict Resolution

**Technical Skills:**
- Proficient in software such as Photoshop, Illustrator, InDesign, and various Microsoft Office applications.
- Experienced in HTML coding, PHP, and database connections.
- Knowledgeable in network management and computer repair.

**Professional Experience:**

1. **Information Technology Instructor** (Jan 2012 - Present)
   - Develop and manage IT curriculum and oversee student learning.
   - Teach multiple classes and manage part-time instructors.
   - Conduct data analysis on student progress and maintain training standards.

2. **Help Desk Manager** (Jan 2010 - Jan 2012)
   - Managed troubleshooting calls and trained help desk staff.
   - Created user training documentation and provided remote support.

3. **Media Designer** (Jan 2009 - Jan 2010)
   - Designed computer-based training courses and multimedia presentations for the Utah Department of Health.

4. **Technical Support Specialist** (Jan 2002 - Jan 2009)
   - Provided advanced technical support and managed inventory control for health department hardware.

**Education:**
- Doctorate of Education (Ed.D.) in Higher Education, Concordia University
- Master of Education (M.Ed.) in Learning & Technology, Western Governor's University
- Bachelor of Science in Information Technology Management, Western Governor's University
- Associate of Applied Science in Multimedia Technologies, Utah Valley University

**Summary:**
Jamal Jackson is a seasoned IT professional with a robust educational background and extensive experience in curriculum development, technical support, and project management. His skills in data analysis and customer service make him a valuable asset in educational and technical environments.",African_American,Male,Jamal,Jackson,Republican,1,Yes
4,INFORMATION-TECHNOLOGY,"**Resume Summary for Ebony Robinson**

**Contact Information:**
- Name: Ebony Robinson (She/her)
- Email: ebony.robinson@yahoo.com

**Professional Summary:**
Ebony Robinson is an innovative and solution-focused web development manager/analyst with extensive experience in program and project management. She is detail-oriented, self-motivated, and a strong leader skilled in identifying technology needs, creating actionable plans, and leading teams to implement solutions. With experience in both industry and academia, she excels in developing staff and managing technology projects.

**Key Skills:**
- Project and Program Management
- Process Improvement
- Requirements Gathering
- Team Leadership and Building
- Strategic Planning
- Data Analysis
- Effective Multi-tasking
- Extensive Technology Experience

**Work History:**

1. **Information Technology Manager/Analyst**  
   *Company Name, City, State*  
   *07/2006 - Present*  
   - Analyzes technology needs for the Graduate College and develops strategic goals.
   - Oversees multiple websites and manages the IT team, focusing on skill development.
   - Collects and reports data to various stakeholders, including national agencies.
   - Led the IT team for over eight years and implemented Software Development Lifecycle Methodology.
   - Appointed to Iowa State University's Paperless Task Force and elected to the Professional and Scientific Council.

2. **Manager**  
   *Company Name, City, State*  
   *06/2003 - 06/2006*  
   - Managed operations of the largest store in the district, overseeing 25 employees.
   - Trained staff and handled daily cash reconciliation.

3. **Web Communications Manager**  
   *Company Name, City, State*  
   *01/1999 - 01/2003*  
   - Developed and managed web projects within a $2 million budget.
   - Led project teams to launch the first company-wide intranet and a new corporate website.
   - Established Corporate Web Design Standards.

**Education:**
- Graduate Certificate in Family Financial Planning, Iowa State University (GPA: 4.0)
- B.S. in Marketing, Iowa State University
- Microsoft Front Page Certified, New Horizons - Des Moines, IA

**Accomplishments:**
- Rolled out the first company-wide intranet for a Fortune 500 company.
- Self-taught in two computer languages to enhance understanding of development limits.
- Elected as a Professional and Scientific representative in 2010.
- Implemented an electronic thesis/dissertation solution at Iowa State University.
- Published a paper at the IATED conference on empowering departments with web technologies. 

This summary highlights Ebony's extensive experience in IT management, project leadership, and her educational background, making her a strong candidate for roles in web development and technology management.",African_American,Female,Ebony,Robinson,Democratic,1,Yes
5,INFORMATION-TECHNOLOGY,"**Resume Summary for Hakim Williams**

**Contact Information:**
- Name: Hakim Williams (He/him)
- Email: hakim.williams@yahoo.com

**Professional Summary:**
Hakim Williams is a knowledgeable Information Technology Specialist with extensive experience in setting up and optimizing workstations, user training, and process improvement. He possesses strong skills in infrastructure, data management, and enterprise operations, with a solid understanding of Cisco business practices and IT standards. Hakim is proficient in network administration, project management, and emergency management, with a proven track record in troubleshooting, technical support, and user account management.

**Key Skills:**
- Network Administration
- Hardware and Software Installation
- Help Desk Support
- Cisco Systems (Routers, Switching)
- Problem-Solving and Technical Support
- End-User Training and Documentation
- Security Protocols and Oversight
- Staff Management and Mentorship

**Professional Experience:**

1. **Information Technology Specialist**  
   *Company Name, City, State*  
   *Feb 2015 - Feb 2021*  
   - Managed user accounts, configured access to servers, and maintained IT documentation.
   - Enhanced company performance through improved IT uptime and cost reductions.
   - Provided on-site technical support for 4000 staff members and authored training manuals.
   - Developed automation and recovery protocols to safeguard data and maintained server infrastructure.

2. **Computer Repair Technician**  
   *Company Name, City, State*  
   *Jun 2016 - Feb 2017*  
   - Diagnosed and repaired computers, updated software, and backed up data.
   - Provided advanced troubleshooting support and configured network connections.
   - Educated users on technology-related issues in an accessible manner.

3. **Correctional Officer**  
   *Company Name, City, State*  
   *Mar 2014 - Dec 2014*  
   - Ensured inmate safety and security through supervision and conflict resolution.
   - Maintained accurate records and logs, and communicated effectively with facility staff.

**Education:**
- Some College (No Degree)  
  *University Of Advancing Technology, City, State*

Hakim Williams is a systematic IT professional with excellent communication and planning abilities, capable of working both independently and as part of a team to enhance technology performance.",African_American,Male,Hakim,Williams,Republican,1,Yes
6,INFORMATION-TECHNOLOGY,"**Resume Summary for Ebony Jackson**

**Contact Information:**
- Name: Ebony Jackson (She/her)
- Email: ebony.jackson@yahoo.com

**Education:**
- B.B.A in Management Information Systems, University of Houston
- Certified Information Systems Auditor (CISA)

**Professional Experience:**

1. **Information Technology Auditor** (10/2016 - Present)
   - Conducts IT audits, risk assessments, and compliance reviews (SOX).
   - Collaborates with IT management on audits, upgrades, and assessments.
   - Trains internal audit team on IT audit methods and emerging risks.

2. **PeopleSoft Security Administrator III** (04/2015 - 10/2016)
   - Managed user access recertification and operational audits for PeopleSoft Financials.
   - Provided guidance on security roles and compliance with SOX controls.
   - Collaborated with developers on technical solutions and process improvements.

3. **Sr. Application Systems Analyst** (07/2014 - 04/2015)
   - Gathered business requirements and configured PeopleSoft applications.
   - Ensured security compliance and performed data validation for user roles.

4. **Sr. ERP Security Analyst/Team Lead/Project Lead** (10/2007 - 07/2014)
   - Led implementation and security assessments for PeopleSoft and Workday.
   - Managed project initiatives and coordinated with IT support teams.

5. **Manager** (04/2007 - 10/2007)
   - Developed incident management procedures and change management strategies.
   - Implemented ITIL methodologies for major incident management.

6. **Lead Client Security Analyst** (03/2006 - 04/2007)
   - Liaised between business and IT for global accounts, ensuring security compliance.
   - Conducted audits and developed security policies.

7. **Sr. Technical Analyst** (05/2002 - 03/2006)
   - Provided technical support and maintained security for various applications.
   - Documented processes and facilitated training for end users.

**Technical Skills:**
- Proficient in PeopleSoft (Financials, HRMS, Campus Solutions), SQL Developer, MS Office, and various auditing tools.
- Experienced in ITIL, risk management, change management, and cybersecurity assessments.

**Certifications:**
- CISA, Legacy MCSE, CCNA, Novell certified

**Professional Affiliations:**
- Delta Sigma Pi Business Fraternity
- Agrium Women's Leadership Group

**Key Competencies:**
- IT Auditing, Compliance, Risk Assessment, User Security Management, Change Management, Technical Support, Business Process Re-engineering, Team Leadership, Training and Development. 

This summary highlights Ebony Jackson's extensive experience in IT auditing, security administration, and application systems analysis, along with her educational background and key skills relevant to her career in information technology.",African_American,Female,Ebony,Jackson,Democratic,1,Yes
7,INFORMATION-TECHNOLOGY,"**Resume Summary for Allison Kelly**

**Contact Information:**
- Name: Allison Kelly (She/her)
- Email: allison.kelly@yahoo.com

**Career Objective:**
- Seeking a Director of I.T. position to leverage extensive experience in networking, troubleshooting, and customer relations.

**Qualifications:**
- **Networking:** Proficient in Cisco technologies (Nexus 7K, UCS, VoIP, routers, switches, etc.), Juniper Firewall, and network management.
- **Operating Systems:** Experienced with Windows Server (2003/2008/2012), SCO Unix, SUSE Linux, and various Windows versions.
- **Hardware:** Skilled in managing Dell PowerEdge servers, IBM Bladecenter, and various PC brands.
- **Software:** Knowledgeable in MAS90, VMware, Exchange, SQL Database, and various IT management tools.
- **Security:** Familiar with PCI compliance, Nexpose, Snort, and Symantec.

**Certifications:**
- Cisco Certified Network Associate (CCNA)

**Work Experience:**

1. **Director of Information Technology** (01/2015 - Present)
   - Main point of contact for all IT matters, supporting over 60 local and 150 remote users.
   - Achieved a 45% reduction in IT budget and saved $180k annually through network and phone system implementation.
   - Established IT Governance department focusing on quality assurance, security, and financial management.

2. **Network Engineer/I.T. Manager** (01/2013 - 01/2015)
   - Led IT infrastructure team, managing security solutions and data center operations for over 200 local and 1500 remote users.
   - Cut IT budget by 15% and ensured optimal connectivity across 300 sites.

3. **Network Administrator/Help Desk Manager** (01/2010 - 01/2013)
   - Provided technical support and managed local/wide area networks for over 300 sites.
   - Documented network issues and coordinated with system engineers for hardware/software setups.

4. **Help Desk Analyst** (01/2010)
   - Supported over 7,000 Taco Bell stores, troubleshooting P.O.S. and computer connection issues.

5. **Help Desk Support/IT Technician/Network Admin** (01/2009)
   - Delivered first-level IT support in a 300-user environment, troubleshooting hardware and software issues.

**Education:**
- B.S. in Computer Networking Systems, ITT Technical Institute

**Skills:**
- Expertise in budget management, change management, IT support, network design, vendor management, and quality assurance.

This summary highlights Allison Kelly's extensive experience and qualifications in IT management, networking, and support, making her a strong candidate for a Director of I.T. position.",White,Female,Allison,Kelly,Democratic,1,Yes
8,INFORMATION-TECHNOLOGY,"**Resume Summary for Tamika Robinson**

**Contact Information:**
- Name: Tamika Robinson (She/her)
- Email: tamika.robinson@yahoo.com

**Career Overview:**
Tamika Robinson is a process-driven and goal-oriented Information Security Leader with 5 years of experience in IT and security. She specializes in analyzing and remediating threat vectors at an enterprise level, enhancing corporate strategy, and improving security operations. Tamika has a strong background in governance, audit control, and risk analysis, and is skilled in leading diverse teams to optimize business protection.

**Key Skills:**
- Information Security Management
- IT SOX Governance & Compliance
- Risk Management and Mitigation
- Technical Acumen in AD, DNS, TCP/IP, Firewall, IDS/IPS
- Project Management and Cross-Functional Collaboration
- Business Process Improvements and Cost Savings Initiatives
- Mentoring and Training Development

**Professional Experience:**
1. **Information Security & Compliance Manager**  
   SolarCity, San Mateo, CA (November 2013 - Present)  
   - Responsible for enterprise information security, risk management, and compliance.
   - Implemented forensic imaging solutions and managed vulnerability assessment practices.
   - Led interdepartmental mediation to convert risks into enterprise-level solutions.

2. **Information Technology Provisioning Technician**  
   Company Name, City, State (10/2012 - 08/2013)  
   - Provided remote and local support for over 7000 employees, resolving complex hardware and software issues.

3. **Information Technology Consultant**  
   Company Name, City, State (12/2011 - 02/2013)  
   - Managed network operations and utilized monitoring platforms to enhance security and productivity.

4. **Technical Lead**  
   McAfee EEPC (08/2013 - 11/2013)  
   - Led executive support teams and provided technical support across multiple operating systems.

**Education:**
- Associate of Arts and Sciences (AAS) in Business Administration Software Technology
- Associate of Arts (AA) in Information Technology
- Associate of Applied Sciences (AAS) in Network Security
- Certifications: CompTIA A+, CompTIA Security+

**Accomplishments:**
- Successfully managed enterprise security initiatives and compliance programs.
- Developed and maintained IT security policies and procedures.
- Enhanced incident management and reduced operational expenditures through strategic improvements.

Tamika is a dedicated professional with a comprehensive technical background and a proven track record in information security and compliance management.",African_American,Female,Tamika,Robinson,Republican,1,Yes
9,INFORMATION-TECHNOLOGY,"**Resume Summary for Tanisha Jones**

**Contact Information:**
- Name: Tanisha Jones (She/her)
- Email: tanisha.jones@yahoo.com

**Professional Experience:**
1. **Information Technology Specialist / Project Engineer**  
   **U.S. Army Information Systems Engineering Command (USAISEC)**  
   **December 2009 - Present**  
   - Lead projects involving complex data networks and telecommunications systems.
   - Managed a $25 million infrastructure project for the Joint Special Operations Command (JSOC) at Ft Bragg, NC.
   - Oversaw project coordination, technical requirements, system design, and contract documentation for a 35,000 sq ft facility.
   - Acted as project coordinator for a $19 million Army Central Command (ARCENT) Headquarters relocation, managing resources and contract modifications.

2. **Systems Integration Analyst**  
   **Company Name**  
   **July 2009 - December 2009**  
   - Developed Facility Design Criteria and System Design Plans for IT engineering services supporting USAISEC.
   - Provided oversight on project documentation for BRAC relocations and ensured timely contract deliverables.

3. **Functional Area Expert (Command and Control)**  
   **Company Name**  
   **April 2001 - September 2009**  
   - Supported communications engineering for multiple Command and Control facilities.
   - Conducted QA/QC checks and acceptance testing for various projects, including headquarters relocations and system upgrades.

**Education:**
- **Bachelor of Science (BS) in Information Technology**  
  University of Phoenix, 2005  
  GPA: 3.67

- **Associates of Applied Science (AAS) in Electronic Technology**  
  Cochise College, 2003  
  GPA: 4.0 (Phi Theta Kappa)

- **Associate in General Studies**  
  Cochise College, 2001  
  GPA: 4.0 (Phi Theta Kappa)

**Skills:**
- Project Management, Systems Integration, Telecommunications, Network Design, Technical Documentation, Financial Planning, Quality Assurance, Engineering Support, and Procurement.

**Summary:**
Tanisha Jones is an experienced IT Specialist and Project Engineer with over a decade of experience in managing complex telecommunications and data network projects for the U.S. Army. She has a strong educational background in Information Technology and Electronic Technology, complemented by a proven track record in project coordination, technical oversight, and systems integration.",African_American,Female,Tanisha,Jones,Democratic,1,Yes
